iter	Passed	Remaining
401	16558	4036
402	16596	3994
403	16638	3953
404	16681	3912
405	16721	3871
406	16769	3831
407	16811	3790
408	16849	3748
409	16893	3708
410	16938	3667
411	16979	3626
412	17023	3586
413	17069	3545
414	17113	3505
415	17157	3464
416	17199	3423
417	17243	3382
418	17288	3342
419	17329	3300
420	17374	3260
421	17416	3219
422	17454	3177
423	17497	3136
424	17538	3095
425	17579	3053
426	17624	3013
427	17664	2971
428	17709	2930
429	17753	2890
430	17795	2848
431	17838	2807
432	17883	2767
433	17922	2725
434	17962	2684
435	18003	2642
436	18040	2600
437	18082	2559
438	18127	2518
439	18169	2477
440	18212	2436
441	18253	2395
442	18295	2354
443	18334	2312
444	18373	2270
445	18416	2229
446	18459	2188
447	18502	2147
448	18541	2106
449	18583	2064
450	18625	2023
451	18669	1982
452	18715	1941
453	18756	1900
454	18793	1858
455	18835	1817
456	18878	1776
457	18918	1734
458	18962	1693
459	18999	1652
460	19041	1610
461	19081	1569
462	19122	1528
463	19162	1486
464	19200	1445
465	19239	1403
466	19274	1361
467	19311	1320
468	19348	1278
469	19408	1238
470	19480	1199
471	19568	1160
472	19632	1120
473	19695	1080
474	19757	1039
475	19827	999
476	19889	959
477	19946	918
478	20010	877
479	20081	836
480	20136	795
481	20174	753
482	20237	712
483	20278	670
484	20317	628
485	20355	586
486	20433	545
487	20497	504
488	20558	462
489	20600	420
490	20649	378
491	20689	336
492	20732	294
493	20776	252
494	20813	210
495	20861	168
496	20905	126
497	20951	84
498	20997	42
499	21039	0
