iter	Accuracy	Logloss
170	0.7832324269	0.4616834694
171	0.7833966136	0.46161301
172	0.7833966136	0.4614630882
173	0.783417137	0.4612966389
174	0.783417137	0.4612008868
175	0.7831708568	0.4610598649
176	0.7833760903	0.4609032632
177	0.7833145203	0.4607932399
178	0.7833760903	0.4607198666
179	0.783355567	0.4606201608
180	0.7833966136	0.4604953931
181	0.783355567	0.4603705664
182	0.7833760903	0.4603485085
183	0.7834376603	0.4602137578
184	0.783355567	0.4601493872
185	0.7833966136	0.4600162308
186	0.783417137	0.4598911749
187	0.783478707	0.4597837102
188	0.7836428938	0.4596454248
189	0.7838481272	0.4595319729
190	0.7839096973	0.4594399975
191	0.7838891739	0.4592766795
192	0.7839917907	0.4591198062
193	0.7841559774	0.4590165091
194	0.7842996408	0.4589009517
195	0.7843612109	0.4587700043
196	0.784545921	0.4586391069
197	0.7845048743	0.4585171057
198	0.7843406875	0.4584277361
199	0.7845253976	0.4583737484
200	0.7844843509	0.4582348158
201	0.7846895844	0.4581489537
202	0.7847511544	0.4580165429
203	0.7846690611	0.4578931162
204	0.7849974346	0.4577526532
205	0.785141098	0.4576332046
206	0.785202668	0.457446219
207	0.7851616213	0.4573066078
208	0.7852231914	0.4572059546
209	0.7854079015	0.4570678563
210	0.7854899949	0.4569522287
211	0.785797845	0.4567476214
212	0.7856541816	0.4566231058
213	0.7855515649	0.4565443386
214	0.7858388917	0.4564355972
215	0.7859209851	0.4562872178
216	0.7858799384	0.4561309509
217	0.7859825552	0.4559800371
218	0.7860236018	0.455846285
219	0.7861056952	0.455705617
220	0.7861262186	0.455508375
221	0.7863519754	0.4553705229
222	0.7865161621	0.4552152506
223	0.7863519754	0.4550343399
224	0.7865161621	0.4549213934
225	0.7865366855	0.4547006296
226	0.7865572088	0.4545566892
227	0.7866803489	0.4544359163
228	0.7868855823	0.4543153462
229	0.786803489	0.4542073909
230	0.7867829656	0.4540338546
231	0.786926629	0.4539062514
232	0.786926629	0.4537841618
233	0.7873370959	0.4536078416
234	0.7874807594	0.4534621507
235	0.7873781426	0.4532956336
236	0.7874191893	0.4531462516
237	0.7878091329	0.4529731121
238	0.7876038994	0.4527184285
239	0.7877270395	0.4525666855
240	0.7878091329	0.4524867419
241	0.7877475629	0.4524208929
242	0.7876859928	0.4522684142
243	0.7877270395	0.4521018858
244	0.7877475629	0.4519669027
245	0.7878501796	0.4518487065
246	0.788055413	0.451711521
247	0.787932273	0.4516008803
248	0.7881580298	0.4514418909
249	0.7882401231	0.4513223237
250	0.7885479733	0.4511967974
251	0.7885069266	0.4510567974
252	0.7888147768	0.4509083077
253	0.7888558235	0.4507517489
254	0.7887326834	0.4506238298
255	0.7887942535	0.4505348985
256	0.789061057	0.4503704892
257	0.789122627	0.4502306135
258	0.7892047204	0.450176357
259	0.789184197	0.4500234425
260	0.7891636737	0.4498952191
261	0.7890815803	0.4497540896
262	0.7890815803	0.4496200032
263	0.7892662904	0.4494964574
264	0.7895330939	0.4494042768
265	0.7895125705	0.4492212334
266	0.7895330939	0.4490704376
267	0.7895741406	0.4489298418
268	0.7896767573	0.4488683202
269	0.789717804	0.4487862345
270	0.7900051308	0.4486797106
271	0.7900051308	0.4485710758
272	0.7901487943	0.4484139934
273	0.7902308876	0.4483061449
274	0.7901282709	0.4482231517
275	0.7901282709	0.4481298263
276	0.7900872242	0.4479996514
277	0.790312981	0.4478884707
278	0.7903745511	0.4477519184
279	0.7906413545	0.4476113152
280	0.7907234479	0.4474755601
281	0.7909902514	0.4473388782
282	0.7909697281	0.4472152672
283	0.7908671113	0.4470447216
284	0.790785018	0.446877987
285	0.7907644946	0.4467602224
286	0.7908876347	0.4466738882
287	0.7911339148	0.4465874373
288	0.7910312981	0.4464511894
289	0.7911339148	0.4463346557
290	0.7913186249	0.4462174944
291	0.7913596716	0.4460577068
292	0.7914007183	0.4460291927
293	0.7914007183	0.4459679703
294	0.7916264751	0.4458946573
295	0.7914212417	0.4457630525
296	0.7916469985	0.4456764447
297	0.7915649051	0.4456445848
298	0.7916469985	0.4455313149
299	0.7917906619	0.4453904676
300	0.7917085685	0.4452646654
301	0.7917496152	0.4451162222
302	0.7920164187	0.4449792088
303	0.7920164187	0.4448287162
304	0.7920574654	0.4446568427
305	0.7919548486	0.4445309247
306	0.7921600821	0.4444315296
307	0.7922216521	0.4443117516
308	0.7920779887	0.4441911115
309	0.7922626988	0.4440736998
310	0.792570549	0.4438984708
311	0.7924474089	0.4437493794
312	0.7925295023	0.4436399479
313	0.7927757825	0.4435321417
314	0.7928168291	0.4434691805
315	0.7928783992	0.443329963
316	0.7930631093	0.4432845558
317	0.7929194459	0.4431350855
318	0.793104156	0.4430490287
319	0.793104156	0.4429831573
320	0.7933093894	0.4428590172
321	0.7934120062	0.4428012902
322	0.7935351462	0.4427305744
323	0.7936788096	0.4426463418
324	0.7937403797	0.4426122968
325	0.7938635198	0.4424801181
326	0.7939045664	0.4423659317
327	0.7939866598	0.4423114143
328	0.7938840431	0.4422515686
329	0.7938840431	0.4422230991
330	0.7939250898	0.4421702033
331	0.7940277065	0.4420805454
332	0.79429451	0.441965129
333	0.79429451	0.4418176016
334	0.7942124166	0.4416998491
335	0.79429451	0.4415948874
336	0.79435608	0.4414969605
337	0.7944176501	0.4413994344
338	0.7945202668	0.4412740261
339	0.7945613135	0.4412464526
340	0.7947460236	0.4411651221
341	0.7946639302	0.4411218359
342	0.7946844536	0.4410752762
343	0.7948075936	0.4409760914
344	0.7947870703	0.4408597478
345	0.7950128271	0.4407195029
346	0.7950949205	0.4406164072
347	0.7952180605	0.440489322
348	0.7953206773	0.4403856971
349	0.7953412006	0.4402265246
350	0.7954027707	0.4401713008
351	0.7955874808	0.4400713287
352	0.7955874808	0.439970047
353	0.7956695741	0.4399097084
354	0.7956695741	0.4397904357
355	0.7957311442	0.4396763331
356	0.7959774243	0.4395884167
357	0.7959158543	0.4395051059
358	0.7959363776	0.4393362584
359	0.7958953309	0.4392645881
360	0.7959363776	0.4391340876
361	0.7962031811	0.4390145942
362	0.7959774243	0.4389055527
363	0.7960595177	0.4387690292
364	0.7965315546	0.4386305139
365	0.7965931247	0.4385160021
366	0.796613648	0.438412478
367	0.7966752181	0.4383355271
368	0.7968188815	0.4382314917
369	0.7968394048	0.4381756277
370	0.7968599282	0.4380742907
371	0.7970241149	0.4379937846
372	0.7968599282	0.4379237522
373	0.7970446383	0.4377764768
374	0.7970446383	0.4376907956
375	0.7970241149	0.4376173032
376	0.7969420215	0.4374984755
377	0.7967778348	0.4374602736
378	0.7969214982	0.4373285862
379	0.797208825	0.4372098429
380	0.7972703951	0.4371147971
381	0.7973524885	0.4370934673
382	0.7975166752	0.4369873138
383	0.7975987686	0.4368877827
384	0.7975987686	0.4368286089
385	0.7975166752	0.4367228034
386	0.7977629554	0.4365817664
387	0.797680862	0.4364806545
388	0.7977629554	0.4364030312
389	0.7977013853	0.436296388
390	0.797680862	0.4362839153
391	0.7977219087	0.4361661237
392	0.797742432	0.436081647
393	0.7977629554	0.4359502462
394	0.7980092355	0.4358737067
395	0.7979066188	0.4357610015
396	0.7980913289	0.4356220715
397	0.7981118522	0.4356049633
398	0.7979066188	0.4355211057
399	0.7980913289	0.4353804279
400	0.7979271421	0.4352531436
401	0.798214469	0.4351968669
402	0.7983786557	0.4351390079
403	0.7985017958	0.4350180213
404	0.7985838892	0.434973402
405	0.7985633658	0.4348783772
406	0.7988301693	0.4347761651
407	0.7989533094	0.4347065143
408	0.7989943561	0.4346432496
409	0.7989943561	0.4345922768
410	0.7992201129	0.434500947
411	0.7991995895	0.4344289578
412	0.7990559261	0.4342835505
413	0.7990969728	0.4342258623
414	0.7991995895	0.434139734
415	0.7992816829	0.4340770755
416	0.7994253463	0.4339704789
417	0.7993842996	0.4338032763
418	0.7995074397	0.4337670872
419	0.7996305798	0.4336749311
420	0.7997537199	0.4335912173
421	0.7996921498	0.4335253123
422	0.7994869164	0.4334346079
423	0.7995484864	0.4333316384
424	0.7995690097	0.4332369526
425	0.7996511031	0.4331205473
426	0.8002052335	0.4329973589
427	0.8001026167	0.4329370365
428	0.8001231401	0.4328727136
429	0.7999794767	0.4327534962
430	0.7999794767	0.432670687
431	0.8001436634	0.4326118705
432	0.8002052335	0.4325662566
433	0.8003488969	0.4324886538
434	0.8004104669	0.4324292952
435	0.8006977937	0.4322987081
436	0.8006977937	0.432256731
437	0.8008209338	0.4322102621
438	0.8009440739	0.4321323674
439	0.801067214	0.4320194647
440	0.8010877373	0.4319740764
441	0.8013134941	0.4318555605
442	0.8013545408	0.4317840214
443	0.8014571575	0.4316775918
444	0.8015392509	0.4315841953
445	0.8016008209	0.4314769191
446	0.8016829143	0.4314471774
447	0.8016418676	0.4313310044
448	0.8017034377	0.4312290253
449	0.8017034377	0.4311911137
450	0.8016829143	0.4310916293
451	0.8015597742	0.4309970175
452	0.801723961	0.4309220728
453	0.8016418676	0.4307927974
454	0.8018265777	0.4307134678
455	0.8019702411	0.4306646133
456	0.8018471011	0.4305671031
457	0.8018471011	0.4304668327
458	0.8019907645	0.4303498246
459	0.8021139046	0.4302407748
460	0.8020112878	0.4302043243
461	0.8020933812	0.4301027363
462	0.802257568	0.4299495509
463	0.802257568	0.4298851127
464	0.8023601847	0.4298159557
465	0.8024833248	0.4297121504
466	0.8026475115	0.429586485
467	0.8025859415	0.429544859
468	0.8026064649	0.4294980636
469	0.8025859415	0.4294633131
470	0.8026885582	0.4293594412
471	0.802852745	0.4292765776
472	0.802914315	0.429226753
473	0.802914315	0.4291511341
474	0.8031605952	0.4290683659
475	0.8031195485	0.4289839947
476	0.8031400718	0.4288711483
477	0.8032632119	0.4287355351
478	0.8031605952	0.4286516301
479	0.8030785018	0.4285852229
480	0.8032837352	0.428463071
481	0.8034273987	0.4283593509
482	0.8033247819	0.4282912845
483	0.8033658286	0.4281403994
484	0.803386352	0.4281334204
485	0.803509492	0.4279976109
486	0.8034684454	0.4278934314
487	0.8034273987	0.4278636438
488	0.8036736788	0.4277709105
489	0.8038378656	0.4277069171
490	0.8036942022	0.4275752354
491	0.8037352488	0.4275379521
492	0.8036531555	0.4274218122
493	0.8038378656	0.4273141268
494	0.8040636224	0.4272172428
495	0.8041867624	0.4271250854
496	0.8041046691	0.4270669401
497	0.8041457158	0.42704326
498	0.8041867624	0.4269551231
499	0.8041867624	0.4268763233
