iter	Passed	Remaining
401	17163	4184
402	17201	4140
403	17243	4097
404	17287	4055
405	17333	4013
406	17381	3971
407	17425	3929
408	17463	3885
409	17513	3844
410	17569	3804
411	17616	3762
412	17666	3721
413	17735	3684
414	17791	3643
415	17837	3601
416	17882	3559
417	17931	3517
418	17977	3475
419	18025	3433
420	18070	3390
421	18114	3348
422	18155	3304
423	18200	3262
424	18245	3219
425	18289	3176
426	18334	3134
427	18376	3091
428	18421	3048
429	18466	3006
430	18510	2963
431	18555	2920
432	18599	2878
433	18648	2835
434	18692	2793
435	18735	2750
436	18775	2706
437	18817	2663
438	18861	2620
439	18903	2577
440	18946	2534
441	18988	2491
442	19033	2449
443	19084	2407
444	19122	2363
445	19165	2320
446	19207	2277
447	19252	2234
448	19300	2192
449	19343	2149
450	19383	2105
451	19426	2062
452	19471	2020
453	19514	1977
454	19563	1934
455	19613	1892
456	19659	1849
457	19700	1806
458	19744	1763
459	19784	1720
460	19827	1677
461	19869	1634
462	19909	1591
463	19949	1547
464	19987	1504
465	20037	1461
466	20071	1418
467	20107	1374
468	20144	1331
469	20187	1288
470	20230	1245
471	20272	1202
472	20312	1159
473	20354	1116
474	20394	1073
475	20435	1030
476	20478	987
477	20519	944
478	20562	901
479	20609	858
480	20650	815
481	20692	772
482	20735	729
483	20780	686
484	20821	643
485	20864	601
486	20908	558
487	20957	515
488	21002	472
489	21038	429
490	21083	386
491	21124	343
492	21167	300
493	21209	257
494	21247	214
495	21291	171
496	21333	128
497	21379	85
498	21421	42
499	21468	0
